Duration (Hours),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2.0,0.012,0.013,0.011,0.014,0.012,0.013,0.011,0.012,0.013,0.014,0.011,0.012,0.010,0.011,0.012,0.013,0.010,0.011,0.012,0.013,0.010,0.011,0.012,0.013,0.015,0.014,0.013,0.012,0.015,0.014,0.013,0.012,0.015,0.014,0.013,0.012,0.013,0.012,0.014,0.013,0.012,0.013,0.014,0.012,0.013,0.014,0.012,0.013,0.011,0.012,0.013,0.011,0.012,0.013,0.011,0.012,0.013,0.011,0.012,0.013,0.011,0.012,0.013,0.014,0.013,0.012,0.014,0.013,0.012,0.014,0.013,0.012,0.012,0.011,0.013,0.012,0.011,0.013,0.012,0.011,0.013,0.012,0.011,0.013,0.010,0.011,0.012,0.010,0.011,0.012,0.010,0.011,0.012,0.010,0.011,0.012
4.0,0.045,0.047,0.043,0.048,0.046,0.044,0.043,0.045,0.047,0.049,0.043,0.045,0.038,0.040,0.042,0.041,0.039,0.040,0.042,0.041,0.039,0.040,0.042,0.041,0.055,0.053,0.051,0.050,0.056,0.054,0.052,0.051,0.056,0.054,0.052,0.051,0.048,0.047,0.049,0.048,0.047,0.048,0.050,0.048,0.047,0.049,0.048,0.047,0.041,0.043,0.045,0.042,0.040,0.043,0.045,0.042,0.040,0.043,0.045,0.042,0.040,0.043,0.045,0.052,0.051,0.049,0.053,0.051,0.049,0.053,0.051,0.049,0.044,0.042,0.046,0.044,0.042,0.046,0.044,0.042,0.046,0.044,0.042,0.046,0.038,0.039,0.041,0.038,0.039,0.041,0.038,0.039,0.041,0.038,0.039,0.041
6.0,0.120,0.125,0.118,0.128,0.122,0.119,0.116,0.121,0.124,0.130,0.117,0.120,0.095,0.099,0.103,0.101,0.097,0.099,0.103,0.101,0.097,0.099,0.103,0.101,0.155,0.151,0.147,0.145,0.158,0.153,0.149,0.146,0.158,0.153,0.149,0.146,0.132,0.130,0.134,0.132,0.130,0.133,0.136,0.133,0.130,0.134,0.133,0.130,0.108,0.112,0.116,0.110,0.106,0.111,0.115,0.110,0.106,0.111,0.115,0.110,0.106,0.111,0.115,0.142,0.139,0.135,0.144,0.141,0.137,0.145,0.142,0.138,0.118,0.114,0.120,0.118,0.113,0.120,0.118,0.113,0.120,0.118,0.113,0.120,0.095,0.097,0.100,0.094,0.097,0.100,0.094,0.097,0.100,0.094,0.097,0.100
8.0,0.290,0.302,0.285,0.308,0.295,0.288,0.281,0.292,0.299,0.315,0.283,0.289,0.220,0.228,0.236,0.232,0.224,0.228,0.236,0.231,0.223,0.228,0.235,0.231,0.395,0.388,0.379,0.374,0.401,0.393,0.384,0.376,0.402,0.394,0.385,0.377,0.335,0.330,0.340,0.335,0.329,0.335,0.345,0.338,0.330,0.341,0.335,0.329,0.255,0.263,0.271,0.258,0.251,0.262,0.270,0.257,0.250,0.262,0.269,0.256,0.249,0.261,0.269,0.365,0.358,0.349,0.370,0.363,0.354,0.372,0.365,0.356,0.288,0.279,0.293,0.288,0.278,0.293,0.287,0.277,0.292,0.286,0.276,0.291,0.220,0.225,0.230,0.219,0.224,0.229,0.218,0.224,0.229,0.218,0.224,0.229
10.0,0.520,0.540,0.512,0.548,0.528,0.515,0.504,0.522,0.535,0.560,0.507,0.518,0.385,0.398,0.411,0.404,0.391,0.398,0.411,0.403,0.390,0.397,0.410,0.403,0.685,0.673,0.658,0.650,0.695,0.682,0.667,0.653,0.696,0.683,0.668,0.654,0.590,0.581,0.595,0.588,0.579,0.589,0.603,0.594,0.582,0.596,0.589,0.580,0.440,0.452,0.464,0.445,0.436,0.450,0.463,0.444,0.434,0.449,0.462,0.443,0.433,0.448,0.461,0.635,0.624,0.611,0.642,0.630,0.617,0.645,0.633,0.620,0.502,0.489,0.507,0.501,0.487,0.506,0.500,0.486,0.505,0.498,0.484,0.503,0.378,0.385,0.392,0.376,0.384,0.391,0.375,0.383,0.390,0.374,0.383,0.390
12.0,0.680,0.705,0.672,0.715,0.688,0.675,0.661,0.682,0.699,0.730,0.665,0.678,0.492,0.508,0.524,0.515,0.499,0.508,0.524,0.514,0.498,0.507,0.523,0.514,0.870,0.855,0.837,0.826,0.882,0.866,0.848,0.830,0.884,0.868,0.850,0.832,0.758,0.747,0.763,0.754,0.743,0.756,0.772,0.761,0.747,0.765,0.756,0.744,0.558,0.573,0.588,0.564,0.552,0.570,0.586,0.562,0.550,0.568,0.584,0.560,0.548,0.566,0.582,0.810,0.797,0.781,0.818,0.804,0.788,0.821,0.807,0.791,0.641,0.625,0.645,0.639,0.623,0.644,0.637,0.621,0.642,0.634,0.618,0.639,0.478,0.487,0.496,0.476,0.486,0.495,0.475,0.485,0.494,0.474,0.485,0.494
14.0,0.782,0.810,0.773,0.822,0.792,0.776,0.760,0.784,0.804,0.840,0.765,0.780,0.560,0.578,0.596,0.586,0.568,0.578,0.596,0.585,0.567,0.577,0.595,0.585,0.985,0.969,0.949,0.936,0.999,0.981,0.961,0.941,1.001,0.983,0.963,0.943,0.868,0.855,0.873,0.863,0.851,0.865,0.883,0.871,0.855,0.875,0.864,0.851,0.630,0.647,0.664,0.637,0.624,0.644,0.662,0.635,0.622,0.641,0.659,0.633,0.620,0.639,0.657,0.922,0.906,0.888,0.931,0.914,0.896,0.934,0.917,0.899,0.730,0.712,0.735,0.728,0.710,0.733,0.726,0.708,0.731,0.722,0.704,0.727,0.540,0.551,0.562,0.538,0.549,0.560,0.537,0.548,0.559,0.536,0.548,0.559
16.0,0.830,0.858,0.820,0.871,0.840,0.823,0.806,0.831,0.852,0.891,0.811,0.827,0.591,0.610,0.629,0.619,0.599,0.610,0.629,0.617,0.598,0.608,0.628,0.617,1.035,1.018,0.997,0.983,1.050,1.031,1.010,0.989,1.052,1.033,1.012,0.991,0.916,0.902,0.921,0.910,0.897,0.913,0.932,0.919,0.902,0.923,0.911,0.898,0.662,0.680,0.698,0.669,0.655,0.677,0.695,0.666,0.652,0.674,0.692,0.664,0.650,0.671,0.689,0.970,0.953,0.934,0.980,0.962,0.943,0.983,0.965,0.946,0.768,0.749,0.773,0.766,0.747,0.771,0.763,0.744,0.768,0.759,0.740,0.764,0.567,0.578,0.589,0.565,0.576,0.587,0.564,0.575,0.586,0.563,0.575,0.586
18.0,0.848,0.876,0.838,0.890,0.858,0.841,0.824,0.849,0.871,0.910,0.829,0.845,0.602,0.622,0.641,0.630,0.611,0.622,0.641,0.628,0.610,0.620,0.640,0.628,1.052,1.035,1.013,0.999,1.067,1.048,1.027,1.005,1.069,1.050,1.029,1.007,0.933,0.919,0.938,0.927,0.913,0.930,0.949,0.936,0.919,0.940,0.928,0.915,0.674,0.692,0.710,0.681,0.667,0.689,0.707,0.678,0.664,0.686,0.703,0.675,0.662,0.683,0.701,0.987,0.970,0.950,0.997,0.979,0.960,1.000,0.982,0.963,0.783,0.764,0.788,0.781,0.762,0.786,0.778,0.759,0.783,0.774,0.755,0.779,0.578,0.589,0.600,0.576,0.587,0.598,0.575,0.586,0.597,0.574,0.586,0.597
